pilot_rank,legacy_register_id,source_type,migration_status,proposed_decision,proposed_target_id,reason,evidence_reference,reviewer_decision,applied_at
1,,,(must_be_needs_mapping),,,Pending read-only extraction,,,,
2,,,(must_be_needs_mapping),,,Pending read-only extraction,,,,
3,,,(must_be_needs_mapping),,,Pending read-only extraction,,,,
4,,,(must_be_needs_mapping),,,Pending read-only extraction,,,,
5,,,(must_be_needs_mapping),,,Pending read-only extraction,,,,
6,,,(must_be_needs_mapping),,,Pending read-only extraction,,,,
7,,,(must_be_needs_mapping),,,Pending read-only extraction,,,,
8,,,(must_be_needs_mapping),,,Pending read-only extraction,,,,
9,,,(must_be_needs_mapping),,,Pending read-only extraction,,,,
10,,,(must_be_needs_mapping),,,Pending read-only extraction,,,,
