table_name,object_kind,estimated_rows,priority,anon_privilege_count,authenticated_privilege_count,anon_privileges,authenticated_privileges,policy_count,policy_roles,evidence_class,decision
ai_tool_run_events,r,-1,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,0,,CLIENT_FULL_GRANTS_NO_POLICY_ROWS_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
ai_tool_run_links,r,-1,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,0,,CLIENT_FULL_GRANTS_NO_POLICY_ROWS_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
ai_tool_runs,r,-1,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,0,,CLIENT_FULL_GRANTS_NO_POLICY_ROWS_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
assistant_conversations,r,-1,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,0,,CLIENT_FULL_GRANTS_NO_POLICY_ROWS_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
assistant_messages,r,-1,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,0,,CLIENT_FULL_GRANTS_NO_POLICY_ROWS_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
chatbot_conversations,r,-1,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,0,,CLIENT_FULL_GRANTS_NO_POLICY_ROWS_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
chatbot_intents,r,-1,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,0,,CLIENT_FULL_GRANTS_NO_POLICY_ROWS_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
chatbot_messages,r,-1,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,0,,CLIENT_FULL_GRANTS_NO_POLICY_ROWS_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
chatbot_retention_policies,r,-1,HIGH,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,0,,CLIENT_FULL_GRANTS_NO_POLICY_ROWS_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
classification_ratings,r,-1,MEDIUM,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,4,{public},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
conversations,r,-1,MEDIUM,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,4,{public},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
document_analyzer_verifications,r,-1,MEDIUM,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,2,{authenticated},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
document_assistant_knowledge_candidates,r,-1,MEDIUM,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,2,{authenticated},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
document_audit_events,r,-1,MEDIUM,7,7,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,1,{authenticated},CLIENT_FULL_GRANTS_POLICY_ROWS_PRESENT_RLS_ENABLEMENT_NOT_CAPTURED,TARGETED_RLS_AND_EFFECTIVE_PRIVILEGE_PROBE_REQUIRED
