routine_name,identity_arguments,security_definer,volatility,public_execute,anon_execute,authenticated_execute,service_role_execute,broad_client_execute,likely_mutation_rpc,classification,missing_evidence
_find_admin_users_column,candidates text[],False,s,True,True,True,True,True,False,BROAD_EXECUTE_FUNCTION_REVIEW_REQUIRED,FUNCTION_BODY|PROCONFIG_SEARCH_PATH|ROLE_IMPERSONATION_RESULT
assert_knowledge_review_task_claim_v1,"p_target_type text, p_target_id uuid, p_workflow_stage text, p_reviewer_auth_user_id uuid",False,v,False,False,False,True,False,False,SERVICE_ROLE_OR_OWNER_SCOPED,
assert_knowledge_reviewer_scope_v1,"p_auth_user_id uuid, p_required_scope text",False,v,False,False,False,True,False,False,SERVICE_ROLE_OR_OWNER_SCOPED,
can_access_message_conversation,p_conversation_id uuid,True,s,True,True,True,True,True,False,SECURITY_DEFINER_BROAD_EXECUTE_REVIEW_REQUIRED,FUNCTION_BODY|PROCONFIG_SEARCH_PATH|ROLE_IMPERSONATION_RESULT
can_manage_assistant,,True,s,True,True,True,True,True,False,SECURITY_DEFINER_BROAD_EXECUTE_REVIEW_REQUIRED,FUNCTION_BODY|PROCONFIG_SEARCH_PATH|ROLE_IMPERSONATION_RESULT
can_read_assistant,,True,s,True,True,True,True,True,False,SECURITY_DEFINER_BROAD_EXECUTE_REVIEW_REQUIRED,FUNCTION_BODY|PROCONFIG_SEARCH_PATH|ROLE_IMPERSONATION_RESULT
document_can_read_v1,,True,s,True,True,True,True,True,False,SECURITY_DEFINER_BROAD_EXECUTE_REVIEW_REQUIRED,FUNCTION_BODY|PROCONFIG_SEARCH_PATH|ROLE_IMPERSONATION_RESULT
document_can_write_v1,,True,s,True,True,True,True,True,False,SECURITY_DEFINER_BROAD_EXECUTE_REVIEW_REQUIRED,FUNCTION_BODY|PROCONFIG_SEARCH_PATH|ROLE_IMPERSONATION_RESULT
is_authenticated_admin_user,,True,s,True,True,True,True,True,False,SECURITY_DEFINER_BROAD_EXECUTE_REVIEW_REQUIRED,FUNCTION_BODY|PROCONFIG_SEARCH_PATH|ROLE_IMPERSONATION_RESULT
is_conversation_owner,p_user_id uuid,True,s,True,True,True,True,True,False,SECURITY_DEFINER_BROAD_EXECUTE_REVIEW_REQUIRED,FUNCTION_BODY|PROCONFIG_SEARCH_PATH|ROLE_IMPERSONATION_RESULT
rpc_claim_knowledge_review_task_v1,"p_task_id uuid, p_reviewer_auth_user_id uuid",False,v,False,False,False,True,False,True,SERVICE_ROLE_OR_OWNER_SCOPED,
