registry_key,title,category,source,author,year,type,origin,origin_file,authority_tier_candidate,supabase_intake_status,content_preview
549f582fefcb,سجلات الطابو العثماني - القدس,land_reference,https://example.com/ottoman-jerusalem,الأرشيف العثماني,1890,ottoman_record,old_db_success_land_reference_insert_query,db-query-1767975773406.json,excluded_or_non_authoritative_candidate,discovered_pending_review_not_applied,سجلات الطابو العثمانية التي توثق ملكية الأراضي في منطقة القدس خلال الفترة العثمانية. تحتوي على معلومات تفصيلية عن المالكين والحدود والمساحات.
611cb3c8f1b0,Minimal Test Document,reference,NULL,,,,old_db_select_row,db-query-1767917356953.json,excluded_or_non_authoritative_candidate,discovered_pending_review_not_applied,
8e01286311db,إدارة الأوقاف في عهد الانتداب البريطاني,historical,https://badil.org/publications/al-majdal/issues/items/409.html,,,,old_db_select_row,db-query-1767917356953.json,ministry_or_administrative_candidate,discovered_pending_review_not_applied,
0e5facccad08,نظام ملكية الأراضي في العهد العثماني,reference,https://info.wafa.ps/pages/details/32393,وكالة الأنباء الفلسطينية (وفا),,مقال موسوعي,legacy_source_file,research_data/jerusalem_land_references.json,ministry_or_administrative_candidate,discovered_pending_review_not_applied,مقال شامل يتناول تطور نظام ملكية الأراضي في العهد العثماني. يشرح قانون الأراضي عام 1858، ولائحة تعليمات سندات الطابو عام 1859، ونظام الطابو. يوضح كيفية تسجيل الأراضي وإصدار السندات.
76a27fa90a93,إدارة وتنمية أموال الوقف - ماجد أبو رخية,إداري,,ماجد أبو رخية,2012,,legacy_source_file,new_references.json,ministry_or_administrative_candidate,discovered_pending_review_not_applied,"كتاب 'إدارة وتنمية أموال الوقف' للدكتور ماجد أبو رخية من الكتب العملية المتخصصة في إدارة واستثمار الأوقاف. نُشر الكتاب عام 2012م.

يتناول الكتاب الجوانب الإدارية والاستثمارية للأوقاف بطريقة عملية، ويقدم أدوات ونماذج يمكن تطبيقها في إدارة الأوقاف. يستهدف الكتاب المسؤولين عن إدارة الأوقاف والنظار والعاملين في مؤسسات الأوقاف.

من أهم موضوعات الكتاب:

1. التخطيط الاستراتيجي للأوقاف: تحديد الرؤية والرسالة والأهداف، تحليل البيئة الداخلية والخارجية، وضع الاستراتيجيات، وتحديد مؤشرات الأداء.

2. الهيكل التنظيمي للأوقاف: تصميم الهيكل التنظيمي، تحديد الصلاحيات والمسؤوليات، وإنشاء اللجان المتخصصة.

3. الم"
503e280d679e,الإشراف المعاصر على العقارات الوقفية,إداري,https://www.palestinecabinet.gov.ps/portal/GovService/Details/129,,,,legacy_source_file,research_data/knowledge_base.json,ministry_or_administrative_candidate,discovered_pending_review_not_applied,"تتولى الإدارة العامة للأملاك الوقفية في وزارة الأوقاف والشؤون الدينية الفلسطينية الإشراف على العقارات الوقفية.

الإجراءات الحالية:
1. تلقي الطلبات: طلبات استئجار الأملاك الوقفية
2. الأراضي والعقارات: جميع أنواع الأملاك الوقفية
3. المواطنون والمؤسسات: يمكنهم التقدم بطلبات

الجهة المسؤولة: الإدارة العامة للأملاك الوقفية - وزارة الأوقاف والشؤون الدينية

الهدف: تنظيم استثمار الأملاك الوقفية وضمان استفادة المستحقين منها وفق الأحكام الشرعية والقانونية."
439f0f853ee9,الوقف الإسلامي: تطوره، إدارته، تنميته - منذر قحف,إداري,,منذر قحف,2000,,legacy_source_file,new_references.json,ministry_or_administrative_candidate,discovered_pending_review_not_applied,"كتاب 'الوقف الإسلامي: تطوره، إدارته، تنميته' للدكتور منذر قحف من أهم الدراسات الاقتصادية والإدارية المعاصرة في مجال الأوقاف الإسلامية. يجمع الكتاب بين الفقه الإسلامي والاقتصاد والإدارة.

يتناول الكتاب تاريخ الوقف الإسلامي وتطوره عبر العصور، ودوره الاقتصادي والاجتماعي في المجتمعات الإسلامية. كما يعرض أساليب إدارة الأوقاف التقليدية والحديثة، وطرق تنمية الأوقاف واستثمارها.

من أهم موضوعات الكتاب: الوقف النقدي (وقف الأموال السائلة)، الصكوك الوقفية (أدوات مالية إسلامية للوقف)، الوقف الاستثماري (استثمار أموال الوقف في مشاريع مربحة)، إدارة الأوقاف بطريقة احترافية، والحوكمة في الأوقاف.

يقدم الكتاب نم"
a1d9ff7de15e,تعليمات لجان رعاية المساجد رقم (2) لسنة 2023م,إداري,http://muqtafi.birzeit.edu/pg/getleg.asp?id=18827,,,,legacy_source_file,research_data/knowledge_base.json,ministry_or_administrative_candidate,discovered_pending_review_not_applied,"تعليمات صادرة عن وزارة الأوقاف والشؤون الدينية الفلسطينية لتنظيم عمل لجان رعاية المساجد.

أهداف التعليمات:
1. المحافظة على المساجد وقدسيتها ونظافتها
2. إحياء صلاة الجماعة
3. تحقيق مبدأ تكافؤ الفرص في منح الإكرامية
4. حماية المساجد من التعديات

نطاق التطبيق:
- جميع المساجد في فلسطين
- لجان رعاية المساجد
- الأئمة والمؤذنون"
e6a43e67707f,مهام وزارة الأوقاف والشؤون الدينية الفلسطينية,إداري,https://www.palestinecabinet.gov.ps/portal/OrgStructure/Details/20,,,,legacy_source_file,research_data/knowledge_base.json,ministry_or_administrative_candidate,discovered_pending_review_not_applied,"وزارة الأوقاف والشؤون الدينية هي الجهة الحكومية المسؤولة عن إدارة الأوقاف والشؤون الدينية في فلسطين.

المهام الأساسية:
1. رعاية الأركان الخمس (الشهادتان، الصلاة، الزكاة، الصوم، الحج)
2. رعاية الشؤون الدينية والحفاظ على وسطية المنهج
3. الحفاظ على أملاك الوقف وتنميتها واستثمارها
4. حفظ الموروث الديني والثقافي والارتقاء بالتعليم الشرعي

البرامج الرئيسية:
- برنامج الأركان الخمسة
- برنامج إدارة الأملاك الوقفية
- برنامج التعليم الشرعي والمهني والتراث
- البرنامج الإداري"
fd24d717947c,نظام الأوقاف في التطبيق المعاصر - عبد الله بن ناصر السدحان,إداري,,عبد الله بن ناصر السدحان,2007,,legacy_source_file,new_references.json,ministry_or_administrative_candidate,discovered_pending_review_not_applied,"كتاب 'نظام الأوقاف في التطبيق المعاصر' للدكتور عبد الله بن ناصر السدحان من أهم الدراسات المعاصرة في إدارة الأوقاف الإسلامية. نُشر الكتاب عام 2007م، ويجمع بين الفقه والإدارة والقانون.

يتناول الكتاب النظام القانوني والإداري للأوقاف في العصر الحديث، مع التركيز على التجارب المعاصرة في البلدان الإسلامية. يعرض الكتاب نماذج من أنظمة الأوقاف في: السعودية، الكويت، قطر، الأردن، مصر، تركيا، وماليزيا.

من أهم موضوعات الكتاب:
1. الإطار القانوني للأوقاف: القوانين والأنظمة المنظمة للأوقاف في البلدان الإسلامية.
2. الهيكل التنظيمي لإدارة الأوقاف: الوزارات، الهيئات، الإدارات، والمؤسسات الوقفية.
3. صلاحيات إدار"
