queue_no,registry_key,title,source,author,year,legacy_category,target_category,domain_scope,authority_tier_candidate,target_authority_level_if_approved,review_bucket,planned_import_stage,target_table_plan,reviewer_roles_required,minimum_checks,blocking_flags,human_decision_required,initial_review_status,approval_decision,reference_document_status_on_import,knowledge_document_status_on_import,is_chat_eligible,chat_priority,supabase_dml_status,origin,origin_file,content_preview
1,549f582fefcb,سجلات الطابو العثماني - القدس,https://example.com/ottoman-jerusalem,الأرشيف العثماني,1890,land_reference,reference,other,excluded_or_non_authoritative_candidate,unverified,HOLD_EXCLUDED_DO_NOT_IMPORT,hold_no_import,assistant.reference_documents_review_queue_only,senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;do_not_import;requires_explicit_override_record;placeholder_source_blocker,placeholder_source;non_authoritative_or_test_record,yes,pending_human_approval,pending,not_imported_triage_or_hold,not_created_until_reference_approved,false,n/a_until_approved,not_applied,old_db_success_land_reference_insert_query,db-query-1767975773406.json,سجلات الطابو العثمانية التي توثق ملكية الأراضي في منطقة القدس خلال الفترة العثمانية. تحتوي على معلومات تفصيلية عن المالكين والحدود والمساحات.
2,611cb3c8f1b0,Minimal Test Document,NULL,,,reference,reference,public_info,excluded_or_non_authoritative_candidate,unverified,HOLD_EXCLUDED_DO_NOT_IMPORT,hold_no_import,assistant.reference_documents_review_queue_only,senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;do_not_import;requires_explicit_override_record;source_missing_blocker,missing_source;non_authoritative_or_test_record,yes,pending_human_approval,pending,not_imported_triage_or_hold,not_created_until_reference_approved,false,n/a_until_approved,not_applied,old_db_select_row,db-query-1767917356953.json,
3,8e01286311db,إدارة الأوقاف في عهد الانتداب البريطاني,https://badil.org/publications/al-majdal/issues/items/409.html,,,historical,historical,historical,ministry_or_administrative_candidate,semi_official,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,ministry_domain_owner;knowledge_admin;senior_knowledge_approver,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_ministry_ownership;verify_currentness_or_archive_as_historical_procedure,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,old_db_select_row,db-query-1767917356953.json,
4,0e5facccad08,نظام ملكية الأراضي في العهد العثماني,https://info.wafa.ps/pages/details/32393,وكالة الأنباء الفلسطينية (وفا),,reference,reference,public_info,ministry_or_administrative_candidate,semi_official,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,ministry_domain_owner;knowledge_admin;senior_knowledge_approver,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_ministry_ownership;verify_currentness_or_archive_as_historical_procedure,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,research_data/jerusalem_land_references.json,مقال شامل يتناول تطور نظام ملكية الأراضي في العهد العثماني. يشرح قانون الأراضي عام 1858، ولائحة تعليمات سندات الطابو عام 1859، ونظام الطابو. يوضح كيفية تسجيل الأراضي وإصدار السندات.
5,76a27fa90a93,إدارة وتنمية أموال الوقف - ماجد أبو رخية,,ماجد أبو رخية,2012,إداري,administrative,administrative,ministry_or_administrative_candidate,semi_official,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,ministry_domain_owner;knowledge_admin;senior_knowledge_approver,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_ministry_ownership;verify_currentness_or_archive_as_historical_procedure;source_missing_blocker,missing_source,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,new_references.json,"كتاب 'إدارة وتنمية أموال الوقف' للدكتور ماجد أبو رخية من الكتب العملية المتخصصة في إدارة واستثمار الأوقاف. نُشر الكتاب عام 2012م.

يتناول الكتاب الجوانب الإدارية والاستثمارية للأوقاف بطريقة عملية، ويقدم أدوات ونماذج يمكن تطبيقها في إدارة الأوقاف. يستهدف الكتاب المسؤولين عن إدارة الأوقاف والنظار والعاملين في مؤسسات الأوقاف.

من أهم موضوعات الكتاب:

1. التخطيط الاستراتيجي للأوقاف: تحديد الرؤية والرسالة والأهداف، تحليل البيئة الداخلية والخارجية، وضع الاستراتيجيات، وتحديد مؤشرات الأداء.

2. الهيكل التنظيمي للأوقاف: تصميم الهيكل التنظيمي، تحديد الصلاحيات والمسؤوليات، وإنشاء اللجان المتخصصة.

3. الم"
6,503e280d679e,الإشراف المعاصر على العقارات الوقفية,https://www.palestinecabinet.gov.ps/portal/GovService/Details/129,,,إداري,administrative,administrative,ministry_or_administrative_candidate,semi_official,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,ministry_domain_owner;knowledge_admin;senior_knowledge_approver,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_ministry_ownership;verify_currentness_or_archive_as_historical_procedure,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,research_data/knowledge_base.json,"تتولى الإدارة العامة للأملاك الوقفية في وزارة الأوقاف والشؤون الدينية الفلسطينية الإشراف على العقارات الوقفية.

الإجراءات الحالية:
1. تلقي الطلبات: طلبات استئجار الأملاك الوقفية
2. الأراضي والعقارات: جميع أنواع الأملاك الوقفية
3. المواطنون والمؤسسات: يمكنهم التقدم بطلبات

الجهة المسؤولة: الإدارة العامة للأملاك الوقفية - وزارة الأوقاف والشؤون الدينية

الهدف: تنظيم استثمار الأملاك الوقفية وضمان استفادة المستحقين منها وفق الأحكام الشرعية والقانونية."
7,439f0f853ee9,الوقف الإسلامي: تطوره، إدارته، تنميته - منذر قحف,,منذر قحف,2000,إداري,administrative,administrative,ministry_or_administrative_candidate,semi_official,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,ministry_domain_owner;knowledge_admin;senior_knowledge_approver,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_ministry_ownership;verify_currentness_or_archive_as_historical_procedure;source_missing_blocker,missing_source,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,new_references.json,"كتاب 'الوقف الإسلامي: تطوره، إدارته، تنميته' للدكتور منذر قحف من أهم الدراسات الاقتصادية والإدارية المعاصرة في مجال الأوقاف الإسلامية. يجمع الكتاب بين الفقه الإسلامي والاقتصاد والإدارة.

يتناول الكتاب تاريخ الوقف الإسلامي وتطوره عبر العصور، ودوره الاقتصادي والاجتماعي في المجتمعات الإسلامية. كما يعرض أساليب إدارة الأوقاف التقليدية والحديثة، وطرق تنمية الأوقاف واستثمارها.

من أهم موضوعات الكتاب: الوقف النقدي (وقف الأموال السائلة)، الصكوك الوقفية (أدوات مالية إسلامية للوقف)، الوقف الاستثماري (استثمار أموال الوقف في مشاريع مربحة)، إدارة الأوقاف بطريقة احترافية، والحوكمة في الأوقاف.

يقدم الكتاب نم"
8,a1d9ff7de15e,تعليمات لجان رعاية المساجد رقم (2) لسنة 2023م,http://muqtafi.birzeit.edu/pg/getleg.asp?id=18827,,,إداري,administrative,administrative,ministry_or_administrative_candidate,semi_official,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,ministry_domain_owner;knowledge_admin;senior_knowledge_approver,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_ministry_ownership;verify_currentness_or_archive_as_historical_procedure,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,research_data/knowledge_base.json,"تعليمات صادرة عن وزارة الأوقاف والشؤون الدينية الفلسطينية لتنظيم عمل لجان رعاية المساجد.

أهداف التعليمات:
1. المحافظة على المساجد وقدسيتها ونظافتها
2. إحياء صلاة الجماعة
3. تحقيق مبدأ تكافؤ الفرص في منح الإكرامية
4. حماية المساجد من التعديات

نطاق التطبيق:
- جميع المساجد في فلسطين
- لجان رعاية المساجد
- الأئمة والمؤذنون"
9,e6a43e67707f,مهام وزارة الأوقاف والشؤون الدينية الفلسطينية,https://www.palestinecabinet.gov.ps/portal/OrgStructure/Details/20,,,إداري,administrative,administrative,ministry_or_administrative_candidate,semi_official,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,ministry_domain_owner;knowledge_admin;senior_knowledge_approver,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_ministry_ownership;verify_currentness_or_archive_as_historical_procedure,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,research_data/knowledge_base.json,"وزارة الأوقاف والشؤون الدينية هي الجهة الحكومية المسؤولة عن إدارة الأوقاف والشؤون الدينية في فلسطين.

المهام الأساسية:
1. رعاية الأركان الخمس (الشهادتان، الصلاة، الزكاة، الصوم، الحج)
2. رعاية الشؤون الدينية والحفاظ على وسطية المنهج
3. الحفاظ على أملاك الوقف وتنميتها واستثمارها
4. حفظ الموروث الديني والثقافي والارتقاء بالتعليم الشرعي

البرامج الرئيسية:
- برنامج الأركان الخمسة
- برنامج إدارة الأملاك الوقفية
- برنامج التعليم الشرعي والمهني والتراث
- البرنامج الإداري"
10,fd24d717947c,نظام الأوقاف في التطبيق المعاصر - عبد الله بن ناصر السدحان,,عبد الله بن ناصر السدحان,2007,إداري,administrative,administrative,ministry_or_administrative_candidate,semi_official,P2_MINISTRY_ADMINISTRATIVE_REVIEW,stage_02_reference_documents_in_review_after_p1,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,ministry_domain_owner;knowledge_admin;senior_knowledge_approver,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_ministry_ownership;verify_currentness_or_archive_as_historical_procedure;source_missing_blocker,missing_source,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,new_references.json,"كتاب 'نظام الأوقاف في التطبيق المعاصر' للدكتور عبد الله بن ناصر السدحان من أهم الدراسات المعاصرة في إدارة الأوقاف الإسلامية. نُشر الكتاب عام 2007م، ويجمع بين الفقه والإدارة والقانون.

يتناول الكتاب النظام القانوني والإداري للأوقاف في العصر الحديث، مع التركيز على التجارب المعاصرة في البلدان الإسلامية. يعرض الكتاب نماذج من أنظمة الأوقاف في: السعودية، الكويت، قطر، الأردن، مصر، تركيا، وماليزيا.

من أهم موضوعات الكتاب:
1. الإطار القانوني للأوقاف: القوانين والأنظمة المنظمة للأوقاف في البلدان الإسلامية.
2. الهيكل التنظيمي لإدارة الأوقاف: الوزارات، الهيئات، الإدارات، والمؤسسات الوقفية.
3. صلاحيات إدار"
