title,status,is_chat_eligible,legacy_registry_key,citations_count
"Consequences of the Ottoman land law: Agrarian and privatization processes in Palestine, 1858–1918",approved,true,f30c44ca0ce6,1
"Consequences of the Ottoman land law: Agrarian and privatization processes in Palestine, 1858–1918",approved,true,9f7b05b16f40,1
"Consequences of the Ottoman land law: Agrarian and privatization processes in Palestine, 1858–1918",approved,true,2d3a06a7ab8f,1
Land privatization in nineteenth-century Ottoman Palestine,approved,true,22d6e77b5c9d,1
Land registry maps in Palestine during the Ottoman period,approved,true,4975fa5e8e6d,1
Mamluk and Ottoman Endowment Deeds as a Source for Geographical-Historical Research: The Waqfiyya of Haseki Sultan (1552 CE),approved,true,1e578da5eb77,1
Mind the Gap: An Archaeological View of Land Tenure and Usufruct Rights Around Jerusalem,approved,true,24c742afa5df,1
Minimal Test Document,approved,true,611cb3c8f1b0,1
أحكام الوقف في الشريعة الإسلامية - محمد عبيد الكبيسي,approved,true,204d6aec31d2,1
أرشيفات القدس الإسلامية - مصادر لمسألة الوقف,approved,true,c70f554c67d0,1
أقدم وقف موثق في العالم (القرن 9 الميلادي),approved,true,f4398474cf63,1
أوقاف القدس - الأوقاف الصلاحية,approved,true,cb2be7104d9c,1
أوقاف القدس - الزوايا والتكايا,approved,true,96226d6f8289,1
أوقاف القدس - المدارس الوقفية,approved,true,072a626febeb,1
أوقاف القدس التاريخية - المسجد الأقصى,approved,true,6e68f93323d2,1
إحياء الوقف المتعطل - الأحكام,approved,true,413fcc96ae46,1
إدارة الأوقاف في عهد الانتداب البريطاني,approved,true,a4459c8e000f,1
إدارة الأوقاف في عهد الانتداب البريطاني,approved,true,8e01286311db,1
إدارة وتنمية أموال الوقف - ماجد أبو رخية,approved,true,76a27fa90a93,1
إعلام الموقعين عن رب العالمين - ابن القيم,approved,true,749d7c950a17,1
اختبار timestamp,approved,true,2a9f85003d7f,1
اختبار التصنيف,approved,true,bb48796c9c13,1
اختبار التصنيف 2,approved,true,541cdad4612c,1
اختبار التصنيف 3,approved,true,ea9e33f40aab,1
اختبار المستخدم,approved,true,9dfd0b9861a9,1
