page_file,component,routes,area,api_refs,has_mutation_or_submit,placeholder_risk,static_audit_status
client/src/pages/AIToolRuns.tsx,AIToolRuns,,public,16,True,True,unrouted_or_component_only
client/src/pages/AITools.tsx,AITools,,public,4,False,False,unrouted_or_component_only
client/src/pages/AboutUs.tsx,AboutUs,/about,public,0,False,True,static_placeholder_risk
client/src/pages/AdminActivity.tsx,AdminActivity,,public,3,True,False,unrouted_or_component_only
client/src/pages/AdminContent.tsx,AdminContent,,public,12,True,True,unrouted_or_component_only
client/src/pages/AdminDashboard.tsx,AdminDashboard,/admin,admin,10,False,False,has_runtime_contract_static_check_only
client/src/pages/AdminSystemSettings.tsx,AdminSystemSettings,,public,10,True,True,unrouted_or_component_only
client/src/pages/AdminUsers.tsx,AdminUsers,/admin/users-old,admin,8,True,True,mixed_needs_browser_uat
client/src/pages/AdvancedSearch.tsx,AdvancedSearch,/advanced-search,public,4,True,True,mixed_needs_browser_uat
client/src/pages/AnalyticsDashboard.tsx,AnalyticsDashboard,,public,10,False,False,unrouted_or_component_only
client/src/pages/Bookmarks.tsx,Bookmarks,/bookmarks,public,7,True,True,mixed_needs_browser_uat
client/src/pages/CacheAnalytics.tsx,CacheAnalytics,,public,8,True,False,unrouted_or_component_only
client/src/pages/CaseDetails.tsx,CaseDetails,/admin/cases/:id,admin,2,False,False,has_runtime_contract_static_check_only
client/src/pages/CasesManagement.tsx,CasesManagement,,public,11,True,True,unrouted_or_component_only
client/src/pages/Chat.tsx,Chat,/chat,public,22,True,True,mixed_needs_browser_uat
client/src/pages/ClassifyTool.tsx,ClassifyTool,,public,4,True,True,unrouted_or_component_only
client/src/pages/ComingSoon.tsx,ComingSoon,,public,0,False,True,unrouted_or_component_only
client/src/pages/CompareTool.tsx,CompareTool,,public,4,True,True,unrouted_or_component_only
client/src/pages/ComponentShowcase.tsx,ComponentShowcase,,public,2,True,True,unrouted_or_component_only
client/src/pages/ContactUs.tsx,ContactUs,/contact,public,2,True,True,mixed_needs_browser_uat
client/src/pages/Dashboard.tsx,Dashboard,/admin/old-dashboard,admin,2,False,False,has_runtime_contract_static_check_only
client/src/pages/DeedsManagement.tsx,DeedsManagement,,public,11,True,True,unrouted_or_component_only
client/src/pages/DigitalLibrary.tsx,DigitalLibrary,,public,2,False,True,unrouted_or_component_only
client/src/pages/ExportData.tsx,ExportData,/export,public,8,True,False,has_runtime_contract_static_check_only
