file,op,query_preview,rows_count,is_error
.manus/db/db-query-1765143284155.json,INSERT,"INSERT INTO knowledge_documents (title, content, category, source, tags, isActive, createdBy, createdAt, updatedAt) VALUES  ('قانون الأوقاف والشؤون والمقدسات الإسلامية رقم (26) لسنة 1966', 'العمود الفقري لأحكام الأوقاف ف",0,False
.manus/db/db-query-1765143321218.json,INSERT,"INSERT INTO knowledge_documents (title, content, category, source, tags, isActive, createdBy, createdAt, updatedAt) VALUES  ('مجلة الأحكام العدلية + شروحها', 'مصدر تشريعي/فقهي مهم في البلدان التي اعتمدتها\n\nالمؤلف: محمد",0,False
.manus/db/db-query-1765143346752.json,INSERT,"INSERT INTO knowledge_documents (title, content, category, source, tags, isActive, createdBy, createdAt, updatedAt) VALUES  ('الأوقاف الإسلامية في فلسطين ودورها في مواجهة الاحتلال الإسرائيلي', 'يتناول واقع الأوقاف الإسلا",0,False
.manus/db/db-query-1765145119332.json,INSERT,"INSERT INTO knowledge_documents (title, content, category, source, tags, createdAt, updatedAt) VALUES  ('تعريف الوقف في الفقه الإسلامي',   'الوقف لغة: الحبس والمنع. واصطلاحاً: حبس العين عن التمليك لأحد من العباد والتصدق ",0,False
.manus/db/db-query-1765145162608.json,INSERT,"INSERT INTO knowledge_documents (title, content, category, source, tags, createdAt, updatedAt) VALUES  ('الأوقاف في العهد الأيوبي والمملوكي',  'شهدت فترة الحكم الأيوبي (1187-1250م) والمملوكي (1250-1517م) ازدهاراً كبيراً ",0,False
.manus/db/db-query-1765145206904.json,INSERT,"INSERT INTO knowledge_documents (title, content, category, source, tags, createdAt, updatedAt) VALUES  ('إدارة الأوقاف - النظام الشرعي والقانوني',  'تخضع إدارة الأوقاف لأحكام شرعية وقانونية محددة:\n\n1. النظام الشرعي:\n-",0,False
.manus/db/db-query-1765146509671.json,DESCRIBE,DESCRIBE messages;,6,False
.manus/db/db-query-1765146517934.json,SELECT,"SELECT id, conversationId, role, LEFT(content, 100) as preview, createdAt  FROM messages  WHERE conversationId IN (SELECT id FROM conversations ORDER BY updatedAt DESC LIMIT 3) ORDER BY conversationId, createdAt  LIMIT 2",6,False
.manus/db/db-query-1765179073222.json,SELECT,"SELECT    (SELECT COUNT(*) FROM conversations) as total_conversations,   (SELECT COUNT(*) FROM messages) as total_messages,   (SELECT COUNT(*) FROM messages WHERE role = 'user') as user_messages;",1,False
.manus/db/db-query-1765182289702.json,DELETE,DELETE FROM faqs;,0,False
.manus/db/db-query-1765186102437.json,SELECT,"SELECT COUNT(*) as total_conversations,         SUM(CASE WHEN userId != 2580001 THEN 1 ELSE 0 END) as real_conversations,        SUM(CASE WHEN userId = 2580001 THEN 1 ELSE 0 END) as test_conversations FROM conversations;",1,False
