table_name,schema_observed,insert_observed,query_evidence_count,schema_sources,insert_sources,suggested_target,migration_priority,action,canonical_old_show_table,object_class
__drizzle_migrations,False,True,4,,.manus/db/db-query-1772922268453.json,do not migrate; audit only,Review,review,True,canonical_old_table
achievements,False,False,0,,,assistant.legacy_import_register first; target decision required,Review,review,True,canonical_old_table
attachments,False,False,0,,,assistant.legacy_import_register first; target decision required,Review,review,True,canonical_old_table
bookmarks,False,False,0,,,assistant.bookmarks,P2,migrate_or_stage,True,canonical_old_table
cached_responses,False,False,0,,,assistant.cached_responses / rebuildable cache,P3,migrate_or_stage,True,canonical_old_table
chat_messages,False,False,2,,,assistant.legacy_import_register first; target decision required,Review,review,False,legacy_seed_or_alias_table
classification_ratings,False,False,0,,,assistant.classification_ratings,Review,review,True,canonical_old_table
comments,False,False,0,,,assistant.comments,P2,migrate_or_stage,True,canonical_old_table
contact_messages,False,False,0,,,assistant.contact_messages or platform contact module,P2,migrate_or_stage,True,canonical_old_table
content,False,False,1,,,assistant.legacy_import_register first; target decision required,Review,review,False,legacy_seed_or_alias_table
content_templates,False,True,2,,.manus/db/db-query-1769029505700.json,assistant.content_templates,P1,migrate_or_stage,True,canonical_old_table
conversations,False,False,6,,,assistant.conversations,P2,migrate_or_stage,True,canonical_old_table
document_files,False,False,0,,,assistant.reference_files,P1,migrate_or_stage,True,canonical_old_table
faqs,False,False,2,,,assistant.faqs / assistant.knowledge_documents(category=faq),P1,migrate_or_stage,True,canonical_old_table
favorite_conversations,False,False,0,,,assistant.favorite_conversations,P2,migrate_or_stage,True,canonical_old_table
feedback,False,False,0,,,assistant.feedback / message_ratings,P2,migrate_or_stage,True,canonical_old_table
fetch_logs,False,False,4,,,assistant.fetch_logs,P1,migrate_or_stage,True,canonical_old_table
fetched_content,True,False,6,.manus/db/db-query-1772835117158.json,,assistant.fetched_content,P1,migrate_or_stage,True,canonical_old_table
files,False,False,0,,,assistant.files / storage metadata,P1,migrate_or_stage,True,canonical_old_table
home_section_items,False,False,0,,,assistant.home_section_items or platform CMS bridge,P1,migrate_or_stage,True,canonical_old_table
home_sections,True,False,4,.manus/db/db-query-1767964876124.json | .manus/db/db-query-1767966177181.json,,assistant.home_sections or platform CMS bridge,P1,migrate_or_stage,True,canonical_old_table
