legacy_batch_source,new_stage_batch,source_file,legacy_table_name,record_key,legacy_dedupe_key,target_schema,target_table,migration_priority,payload_kind,title_or_key,planned_batch08_action
knowledge_batch_07,knowledge_batch_08,insert_jerusalem_refs.sql,knowledge_documents,متصرفية القدس أواخر العهد العثماني,5f1a720b89bdd554,assistant,knowledge_documents,P1,legacy_sql_insert_row,متصرفية القدس أواخر العهد العثماني,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,insert_jerusalem_refs.sql,knowledge_documents,ديار بئر السبع: جنوب فلسطين العثماني - الأرض والمجتمع والدولة,22972fd07f3d056a,assistant,knowledge_documents,P1,legacy_sql_insert_row,ديار بئر السبع: جنوب فلسطين العثماني - الأرض والمجتمع والدولة,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,insert_jerusalem_refs.sql,knowledge_documents,حق التصرف الوارد على الأراضي الأميرية وفقاً للتشريعات النافذة في فلسطين,1b352a144e3b4863,assistant,knowledge_documents,P1,legacy_sql_insert_row,حق التصرف الوارد على الأراضي الأميرية وفقاً للتشريعات النافذة في فلسطين,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,insert_jerusalem_refs.sql,knowledge_documents,النظام القانوني للأراضي الأميرية في فلسطين,eb81949f12a832e5,assistant,knowledge_documents,P1,legacy_sql_insert_row,النظام القانوني للأراضي الأميرية في فلسطين,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,insert_jerusalem_refs.sql,knowledge_documents,تسوية وتسجيل الأراضي في القدس الشرقية: الإشكاليات، التحديات والإسقاطات,3f190eba5be34f62,assistant,knowledge_documents,P1,legacy_sql_insert_row,تسوية وتسجيل الأراضي في القدس الشرقية: الإشكاليات، التحديات والإسقاطات,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,insert_jerusalem_refs.sql,knowledge_documents,"Consequences of the Ottoman land law: Agrarian and privatization processes in Palestine, 1858–1918",dea66f77db7907e4,assistant,knowledge_documents,P1,legacy_sql_insert_row,"Consequences of the Ottoman land law: Agrarian and privatization processes in Palestine, 1858–1918",stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,insert_jerusalem_refs.sql,knowledge_documents,Land privatization in nineteenth-century Ottoman Palestine,761cecc41e3d6818,assistant,knowledge_documents,P1,legacy_sql_insert_row,Land privatization in nineteenth-century Ottoman Palestine,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,insert_jerusalem_refs.sql,knowledge_documents,Land registry maps in Palestine during the Ottoman period,f38a0700036312cf,assistant,knowledge_documents,P1,legacy_sql_insert_row,Land registry maps in Palestine during the Ottoman period,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,insert_jerusalem_refs.sql,knowledge_documents,Mind the Gap: An Archaeological View of Land Tenure and Usufruct Rights Around Jerusalem,ec93127203a09523,assistant,knowledge_documents,P1,legacy_sql_insert_row,Mind the Gap: An Archaeological View of Land Tenure and Usufruct Rights Around Jerusalem,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,insert_jerusalem_refs.sql,knowledge_documents,قانون الأراضي العثماني (1858),88db09ae4d2b674e,assistant,knowledge_documents,P1,legacy_sql_insert_row,قانون الأراضي العثماني (1858),stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,insert_jerusalem_refs.sql,knowledge_documents,نظام ملكية الأراضي في العهد العثماني,1f69de305a873d97,assistant,knowledge_documents,P1,legacy_sql_insert_row,نظام ملكية الأراضي في العهد العثماني,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,insert_jerusalem_refs.sql,knowledge_documents,وثائق الملكية الفلسطينية في الأرشيف العثماني,0cbb12e42dfa29c9,assistant,knowledge_documents,P1,legacy_sql_insert_row,وثائق الملكية الفلسطينية في الأرشيف العثماني,stage_all_then_promote_p1_knowledge
knowledge_batch_07,knowledge_batch_08,insert_jerusalem_refs.sql,knowledge_documents,الأرشيف العثماني بأيدٍ فلسطينية.. وثائق تثبت ملكية الأراضي,babd7bc5feb932ec,assistant,knowledge_documents,P1,legacy_sql_insert_row,الأرشيف العثماني بأيدٍ فلسطينية.. وثائق تثبت ملكية الأراضي,stage_all_then_promote_p1_knowledge
